gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,most_frequent_action,most_frequent_action_type,most_frequent_action_detail,most_frequent_device_type,most_frequent_secs_elapsed
2,57,0,0,5,2,3,6,2,3,23,US,114,7,43,6,15.0
2,39,0,25,5,2,3,6,3,8,17,other,114,4,36,11,0.0
0,100,0,0,5,5,7,3,2,3,23,NDF,114,2,0,6,113.0
0,29,0,0,5,2,3,3,2,7,17,NDF,131,0,0,10,26.0
1,30,0,0,5,5,7,3,2,3,6,US,13,0,0,6,16.0
1,31,1,12,5,0,11,3,3,6,6,NDF,4,0,0,0,141.0
2,25,1,0,5,2,3,0,2,2,6,NDF,102,7,49,4,491.0
2,65,1,12,5,0,11,5,3,7,17,NDF,4,0,0,0,48.0
0,34,0,0,5,2,3,6,2,3,23,NDF,114,7,73,6,110.0
2,30,0,0,5,5,7,3,2,3,23,NDF,70,2,73,6,88.0
0,21,0,0,5,2,3,6,2,3,6,US,22,4,14,6,1024.0
1,29,0,0,5,2,3,6,2,3,23,US,114,0,0,6,76.0
0,32,0,25,5,2,3,0,3,6,6,US,110,2,73,8,42.0
2,36,1,0,5,4,7,6,2,6,10,NDF,70,2,73,8,3.0
2,37,1,12,5,0,11,6,3,8,0,US,62,0,0,11,3.0
2,22,1,0,5,2,3,0,2,7,17,NDF,114,3,75,10,83.0
2,26,1,0,23,5,7,3,2,6,10,NDF,110,2,73,8,60.0
1,26,1,0,5,2,3,6,2,6,11,NDF,15,3,11,8,64.0
2,31,0,0,5,2,3,6,2,2,8,US,43,0,0,5,217.0
2,50,0,25,5,2,3,6,3,8,0,NDF,4,0,0,0,490.0
2,39,1,0,5,2,3,6,2,3,23,NDF,114,7,73,6,85.0
1,25,1,12,5,0,11,0,3,8,17,NDF,4,0,0,0,47.0
1,19,0,0,5,7,7,3,2,7,17,NDF,110,2,73,10,96.0
1,32,0,0,5,5,7,0,2,6,10,other,114,7,0,8,19.0
1,37,0,0,5,2,3,3,2,3,23,NDF,114,7,73,6,2.0
2,51,0,0,5,2,3,6,2,6,11,NDF,114,2,73,8,2.0
1,68,0,0,5,2,3,0,2,6,10,US,117,7,57,8,237.0
2,28,1,0,14,2,3,6,2,6,11,FR,110,2,73,8,77.0
1,24,0,0,5,5,7,3,2,3,23,US,114,7,19,6,3.0
2,27,1,0,5,5,7,6,2,2,6,NDF,15,0,0,5,87.0
1,24,1,0,14,5,7,3,2,6,6,NDF,114,2,11,8,69.0
2,24,0,0,5,2,3,0,2,6,6,NDF,131,0,0,8,8.0
2,28,1,12,5,0,11,6,3,8,17,US,4,0,0,0,191.0
0,29,0,0,5,5,7,3,2,6,6,US,59,0,0,8,3546.0
2,47,1,0,5,3,11,5,2,6,6,NDF,24,0,0,8,2772.0
2,22,1,12,23,0,11,3,3,3,6,NDF,4,0,0,0,50.0
1,53,1,0,5,1,7,3,2,6,6,NDF,114,3,32,8,93.0
2,27,1,12,6,0,11,6,3,8,0,NDF,4,0,0,0,102.0
2,32,1,12,5,0,11,6,3,4,0,NDF,4,0,0,0,38.0
2,33,1,0,5,2,3,6,2,6,11,other,27,0,0,8,157.0
2,67,0,0,5,2,3,0,2,7,17,US,110,2,73,10,29.0
2,57,1,0,5,6,7,3,2,3,23,NDF,110,2,73,6,70.0
1,38,0,0,5,6,7,3,2,6,11,US,106,7,45,8,0.0
2,31,1,0,4,5,7,3,2,6,19,NDF,27,0,0,8,15.0
1,27,0,25,5,2,3,6,3,8,17,US,114,4,36,11,0.0
2,73,0,0,5,2,3,0,2,6,10,other,45,0,0,0,10.0
1,47,1,0,5,3,6,5,2,3,10,NDF,59,0,0,6,179.0
1,57,0,0,5,2,3,0,2,3,23,US,22,4,14,6,919.0
2,41,1,0,5,5,7,3,2,6,10,US,24,3,25,8,0.0
1,66,0,0,5,5,7,6,2,6,11,FR,62,0,0,8,38.0
1,22,0,0,5,7,5,6,2,3,6,US,106,7,45,6,0.0
0,26,0,0,5,2,3,0,2,7,17,US,15,2,11,10,615.0
0,29,0,12,5,0,11,6,0,4,0,US,109,0,0,1,10.0
2,40,0,0,5,2,3,3,2,3,23,US,114,7,73,6,10.0
1,31,0,0,5,2,3,0,2,6,6,CA,131,0,0,8,30.0
0,89,0,0,5,6,7,3,2,3,23,NDF,110,2,0,6,2.0
0,34,0,0,5,2,3,0,2,6,6,US,114,2,11,8,26.0
2,42,1,0,5,2,3,6,2,6,10,FR,24,3,0,8,112.0
0,39,0,0,5,5,7,0,2,3,10,NDF,131,0,0,6,38.0
1,43,1,0,5,2,3,6,2,1,11,NDF,114,2,73,7,3.0
0,46,0,0,5,2,3,6,2,6,11,US,114,7,0,8,789.0
1,30,1,0,5,2,3,6,2,6,10,US,127,7,0,8,4.0
2,38,1,0,5,2,3,0,2,3,10,NDF,87,0,0,6,81.0
1,25,0,0,5,2,3,6,2,6,6,US,87,3,75,8,31.0
2,30,0,0,5,2,3,6,2,6,11,US,114,7,0,8,0.0
1,27,1,0,5,2,3,6,2,6,6,NDF,114,0,0,8,3.0
1,39,0,0,5,2,3,6,2,6,11,FR,43,3,0,8,0.0
2,29,1,0,23,7,7,0,2,6,6,NDF,24,3,25,8,629.0
0,30,0,0,5,2,3,6,2,6,6,US,114,3,75,8,6.0
2,41,0,0,5,5,7,3,2,6,6,other,43,0,0,8,129.0
1,33,0,0,5,6,7,0,2,6,6,US,114,3,75,8,55.0
0,29,0,0,5,2,3,6,2,3,10,US,60,0,0,6,400.0
1,30,1,0,5,2,3,6,2,3,10,ES,24,6,32,6,2473.0
1,28,0,0,5,5,7,3,2,3,6,US,110,0,0,6,28.0
0,45,0,0,5,2,3,0,2,6,11,US,114,0,0,8,3.0
2,41,1,0,14,1,7,3,2,3,6,NDF,114,0,0,6,12.0
1,41,0,0,5,5,7,3,2,3,10,FR,110,2,73,6,26.0
1,34,1,12,5,0,11,6,3,8,0,NDF,114,0,0,11,22.0
1,35,0,0,5,2,3,0,2,3,6,other,114,3,73,6,129.0
1,59,1,0,5,5,7,3,2,6,11,US,114,0,0,8,14.0
2,31,0,0,5,2,3,6,2,6,6,US,60,0,0,8,0.0
1,33,1,0,5,2,3,6,2,6,6,NDF,131,0,0,8,60.0
0,28,0,0,5,2,3,0,2,6,10,NDF,62,0,0,8,11.0
2,39,1,0,5,7,7,0,2,6,6,NDF,7,2,14,8,6.0
1,39,1,0,5,2,3,0,2,6,11,NDF,70,2,73,8,16.0
1,41,0,0,5,2,3,6,2,3,23,US,110,2,73,6,0.0
1,25,0,0,5,6,7,0,2,3,23,US,60,0,0,10,40.0
2,26,0,0,5,2,3,6,2,6,6,other,15,2,11,8,43.0
2,39,0,0,5,7,7,0,2,6,6,US,37,0,0,8,542.0
1,27,0,0,5,7,7,0,2,6,6,US,114,0,0,8,2.0
1,63,0,0,5,6,1,0,2,6,6,other,114,3,75,8,47.0
1,36,0,0,5,6,7,6,2,7,17,NDF,22,4,14,10,683.0
2,61,0,0,5,2,3,6,2,3,23,NDF,62,7,0,8,7.0
0,51,0,0,5,2,3,0,2,3,23,US,62,7,73,6,16.0
2,41,1,0,5,2,3,6,2,6,11,other,67,0,0,8,666.0
2,50,0,0,20,2,3,0,2,3,23,US,114,0,0,6,74.0
2,28,1,0,5,2,3,0,2,6,6,US,114,2,73,8,1123.0
2,32,0,0,5,2,3,6,2,6,6,NDF,48,7,0,8,104.0
1,85,1,0,5,2,3,3,2,6,11,GB,114,7,43,8,4.0
1,24,0,0,5,2,3,0,2,3,23,US,110,2,73,6,3.0
0,23,0,0,5,2,3,0,2,6,11,NDF,48,7,21,8,404.0
2,30,0,0,5,5,7,3,2,3,23,US,70,2,73,6,12.0
0,41,0,0,5,2,3,6,2,6,10,FR,87,3,75,8,543.0
0,34,0,0,5,2,3,6,2,3,23,US,60,0,0,6,55.0
1,28,1,12,5,0,11,6,1,3,23,US,4,0,0,0,53.0
2,39,1,0,5,2,3,0,2,3,10,US,114,2,75,6,6.0
2,22,1,0,5,5,7,6,2,3,6,NDF,51,0,0,6,24.0
1,29,0,0,5,5,7,3,2,3,23,NDF,114,3,73,6,7.0
2,71,0,0,5,6,7,3,2,6,6,US,114,3,11,8,22.0
2,41,0,0,5,2,3,6,2,3,10,NDF,114,2,11,6,21.0
2,26,1,0,5,3,12,5,2,6,6,US,15,2,0,8,46.0
1,31,1,12,5,0,11,3,3,7,17,NDF,4,0,0,0,56.0
2,46,0,24,5,2,3,6,1,6,11,NDF,114,0,0,0,65.0
1,25,1,12,5,0,11,6,3,8,0,NDF,114,0,0,11,17.0
0,23,0,0,5,2,3,0,2,3,23,NDF,70,0,0,6,431.0
2,28,1,0,5,2,3,5,2,3,6,US,106,6,45,6,0.0
0,40,0,0,5,2,3,6,2,3,23,US,13,0,0,6,69.0
2,26,0,0,5,2,3,0,2,7,17,US,70,2,73,10,9.0
2,31,0,0,5,6,7,3,2,3,23,US,60,0,0,6,21.0
0,40,0,0,5,2,3,6,2,6,10,US,114,7,0,8,25.0
1,21,1,12,5,0,11,6,3,8,0,NDF,4,0,0,0,50.0
1,28,0,0,5,6,7,6,2,7,17,NDF,114,3,75,10,3.0
2,63,0,0,5,5,7,3,2,7,17,NDF,4,0,0,10,67.0
2,44,0,0,5,1,7,3,2,3,23,NDF,110,2,73,6,38.0
1,57,0,0,12,2,3,6,2,7,17,NDF,131,0,0,10,110.0
2,43,0,0,5,2,3,0,2,6,10,NDF,87,3,0,8,60.0
1,26,1,12,5,0,11,6,3,8,0,US,4,0,0,0,65.0
2,23,0,0,5,5,7,3,2,3,23,US,110,2,73,6,51.0
1,47,0,0,5,5,7,3,2,6,6,NDF,43,0,0,8,355.0
1,41,1,0,5,6,7,6,2,7,17,CA,114,7,43,10,19.0
1,37,1,12,5,0,11,6,3,8,0,NDF,4,0,0,11,15.0
2,33,1,0,5,1,7,3,2,6,10,NDF,110,2,73,8,1.0
1,52,1,12,5,0,11,6,3,8,0,NDF,62,0,0,11,202.0
2,31,0,0,5,2,3,0,2,3,10,US,106,7,0,6,0.0
2,34,1,12,8,0,11,6,0,4,0,NDF,109,0,0,1,168.0
2,29,1,0,5,7,7,0,2,7,17,NDF,24,6,32,10,923.0
2,42,1,0,5,7,7,0,2,6,6,NDF,22,6,14,8,0.0
2,49,1,0,5,2,3,0,2,6,6,NDF,131,0,0,8,4.0
1,30,1,12,5,0,11,6,3,4,0,NDF,4,0,0,0,51.0
2,43,1,0,5,2,3,6,2,3,6,NDF,24,6,32,6,200.0
2,39,1,0,5,2,3,6,2,3,23,NDF,24,3,32,6,6.0
2,38,0,0,5,2,3,6,2,6,10,US,106,7,45,8,0.0
1,21,1,0,5,2,3,0,2,3,23,NDF,24,3,25,6,3429.0
1,28,1,12,5,0,11,6,3,7,0,NDF,4,0,0,10,66.0
2,33,0,0,5,2,3,0,2,3,6,IT,110,2,73,6,1020.0
1,55,0,0,5,2,3,6,2,3,6,NDF,45,0,0,6,106.0
0,36,0,0,5,2,3,6,2,3,10,other,114,7,43,10,35.0
2,54,0,0,5,6,7,3,2,6,6,US,13,0,0,8,5.0
2,37,0,0,5,2,3,0,2,3,10,US,114,0,0,6,0.0
2,24,1,12,5,0,11,6,1,8,7,US,114,0,0,0,9.0
2,39,1,0,5,3,12,5,2,6,6,NDF,15,2,11,8,25.0
1,59,0,0,5,5,7,3,2,3,10,NDF,131,0,0,6,118.0
1,27,1,0,5,2,3,6,2,3,23,NDF,22,7,37,6,81.0
2,40,1,12,8,0,11,6,3,4,0,NDF,4,0,0,0,91.0
2,28,1,0,5,5,7,3,2,3,6,other,114,7,37,6,34.0
1,24,0,0,5,2,3,6,2,3,23,US,70,2,73,6,31.0
2,32,0,0,5,5,7,3,2,3,23,US,131,0,0,6,8.0
1,36,0,0,5,2,3,6,2,3,10,US,15,2,11,6,149.0
0,38,0,0,5,5,7,3,2,3,23,ES,114,0,0,6,15.0
0,27,0,0,5,2,3,6,2,3,10,US,62,0,0,6,87.0
2,35,0,0,5,2,3,6,2,3,10,US,87,0,0,6,2.0
2,26,0,0,5,2,3,6,2,3,6,US,128,7,0,8,3.0
2,33,0,12,5,0,11,6,0,4,0,US,109,0,0,1,109.0
2,32,0,0,5,2,3,6,2,7,7,US,70,7,0,6,0.0
2,36,1,0,5,2,3,3,2,3,23,US,106,6,45,6,0.0
0,37,0,0,5,1,7,5,2,8,17,ES,110,3,73,6,50.0
2,36,0,0,5,2,3,6,2,6,6,GB,85,0,0,8,1000.0
1,28,1,0,5,2,3,6,2,7,17,US,70,2,73,10,2.0
2,21,1,12,5,0,11,6,3,3,23,US,4,0,0,0,174.0
1,32,1,0,5,2,3,0,2,6,11,NDF,15,2,14,6,27.0
1,24,1,12,3,0,11,6,3,8,17,US,4,0,0,0,177.0
1,48,0,0,5,2,3,3,2,6,11,US,114,7,75,6,623.0
1,61,0,0,5,2,3,6,2,7,17,other,131,0,0,10,10.0
2,21,0,0,23,2,3,0,2,3,23,US,110,2,73,6,5.0
2,25,0,12,5,0,11,6,0,4,0,NDF,109,0,0,1,177.0
1,25,0,0,5,5,7,3,2,3,10,US,114,0,0,6,1.0
1,26,1,12,5,0,11,6,3,8,17,NDF,114,0,0,0,57.0
1,64,1,0,5,5,7,6,2,3,23,NDF,52,0,0,0,31.0
2,26,0,25,5,2,3,6,3,7,17,NDF,110,2,73,10,1220.0
1,24,0,0,5,2,3,6,2,3,6,US,114,0,0,6,53.0
2,27,0,0,5,2,3,0,2,2,6,other,110,2,73,4,23.0
0,32,0,0,5,2,3,0,2,3,10,NDF,114,7,73,6,40.0
2,27,1,0,5,7,5,0,2,3,23,US,114,0,0,6,59.0
1,31,1,12,5,0,11,6,3,8,0,NDF,4,0,0,0,54.0
2,49,0,0,5,2,3,6,2,3,23,US,22,6,13,6,396.0
1,32,0,0,5,2,3,6,2,6,6,US,114,0,0,8,753.0
1,26,0,0,5,2,3,6,2,3,23,NDF,114,2,73,6,4.0
1,67,0,0,5,5,7,3,2,3,23,NDF,127,3,75,10,33.0
1,41,1,0,5,2,3,6,2,3,10,US,70,2,73,6,964.0
1,24,1,0,5,2,3,5,2,3,23,NDF,114,3,75,6,25.0
2,62,0,0,5,2,3,6,2,3,23,US,114,7,0,6,0.0
2,42,1,0,5,1,7,3,2,6,6,NDF,24,3,25,8,281.0
2,31,0,0,5,2,3,3,2,3,23,GB,70,7,0,6,17.0
0,48,0,0,5,2,3,0,2,3,10,US,114,7,0,6,16.0
0,39,0,12,5,0,11,6,0,4,0,NDF,26,0,0,1,141.0
2,39,1,12,5,0,11,6,2,3,6,NDF,60,0,0,6,319.0
2,35,0,0,5,2,3,3,2,3,23,NDF,131,0,0,6,31.0
2,35,1,0,5,2,3,0,2,6,6,NDF,114,7,75,8,7.0
2,43,0,12,5,0,11,6,0,4,0,other,35,0,0,1,881.0
1,23,0,0,5,2,3,6,2,3,6,DE,15,2,0,6,17.0
1,44,0,0,5,2,3,6,2,3,10,US,70,3,73,6,17.0
2,35,1,0,5,2,3,6,2,6,6,NDF,24,0,0,8,351.0
1,49,0,0,5,3,11,0,2,6,11,NDF,48,7,21,8,811.0
1,36,0,0,5,6,7,3,2,3,6,US,114,3,11,6,200.0
2,26,1,0,5,2,3,0,2,6,6,NDF,24,3,25,8,9995.0
0,24,0,25,5,2,3,6,3,6,6,NDF,0,4,36,11,126000.0
2,37,1,0,5,2,3,0,2,6,10,NDF,131,0,0,8,61.0
2,23,0,0,3,2,3,0,2,8,17,AU,114,7,43,6,45.0
0,36,0,0,5,2,3,6,2,3,23,US,21,6,4,6,0.0
0,40,0,0,5,2,3,0,2,3,23,NDF,114,7,45,6,0.0
0,42,0,0,5,2,3,0,2,3,10,NDF,70,2,73,6,27.0
2,32,1,12,5,0,11,6,3,8,0,US,4,0,0,0,44.0
0,31,0,0,5,5,7,3,2,3,6,other,110,2,73,6,507.0
1,33,1,0,5,2,3,0,2,6,11,NDF,62,7,76,8,17.0
1,29,1,0,5,2,3,0,2,3,23,NDF,114,3,73,6,83.0
1,33,0,25,5,2,3,6,3,8,0,US,114,0,0,11,33.0
2,25,1,0,5,5,7,3,2,6,6,US,13,0,0,8,488.0
1,29,1,0,5,5,7,6,2,3,23,NDF,114,3,43,6,332.0
1,32,1,0,14,2,3,6,2,6,6,US,114,2,11,8,1195.0
2,25,0,0,5,2,3,6,2,6,6,NDF,131,0,0,8,528.0
2,32,0,0,5,2,3,0,2,3,23,US,110,2,73,6,7.0
2,20,1,12,3,0,11,6,0,4,0,NDF,114,0,0,1,130.0
2,28,1,0,5,2,3,6,2,3,6,other,70,2,0,6,3.0
2,19,1,12,17,0,11,3,3,3,23,ES,4,0,0,0,78.0
1,24,0,0,8,5,7,3,2,6,10,other,60,0,0,8,501.0
1,25,1,0,23,1,7,3,2,3,6,NDF,24,2,25,6,965.0
2,30,0,0,5,5,7,3,2,3,23,other,62,0,0,6,325.0
1,32,0,0,5,2,3,6,2,6,6,US,48,7,0,8,651.0
2,19,0,25,5,2,3,6,3,8,17,other,114,0,0,11,8.0
1,45,1,0,5,7,5,0,2,6,6,NDF,114,7,0,8,23.0
2,32,0,25,5,2,3,6,3,8,17,US,67,0,0,11,728.0
0,45,0,0,5,2,3,6,2,3,23,NDF,110,2,73,6,341.0
1,30,0,0,5,2,3,6,2,6,11,US,1,0,0,8,0.0
1,26,0,0,5,6,7,3,2,6,6,US,114,3,75,8,11.0
1,35,0,0,5,5,7,3,2,6,6,US,114,2,73,8,0.0
1,36,1,0,6,6,7,3,2,6,6,NDF,114,3,73,8,1097.0
0,31,0,0,5,2,3,0,2,3,23,US,114,7,0,6,0.0
2,37,0,0,5,5,7,3,2,3,10,US,70,0,0,6,37.0
2,30,1,0,5,2,3,6,2,8,17,NDF,56,0,0,11,439.0
2,42,1,0,5,2,3,0,2,3,23,FR,48,7,0,6,0.0
2,23,1,0,5,2,3,0,2,3,23,NDF,114,7,43,6,14.0
2,26,1,0,5,2,3,5,2,3,23,US,24,0,0,6,12.0
0,37,0,25,5,2,3,6,3,3,23,US,0,4,36,11,165000.0
1,30,0,0,5,2,3,0,2,3,23,US,114,7,0,6,188.0
2,45,1,12,5,0,11,3,3,6,10,NDF,4,0,0,0,462.0
1,23,1,12,8,0,11,6,3,8,17,US,4,0,0,0,85.0
2,31,1,0,5,2,3,6,2,3,6,US,127,3,0,6,20.0
