date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,most_frequent_action
2014-01-02,2014-01-02,2014-01-07,FEMALE,58,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,other,show
2014-01-02,2014-01-02,2014-01-02,FEMALE,47,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,connect
2014-01-02,2014-01-02,2014-09-02,MALE,38,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,personalize
2014-01-02,2014-01-02,2014-01-03,MALE,57,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,show
2014-01-02,2014-01-02,2014-01-02,FEMALE,30,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US,ajax_photo_widget_form_iframe
2014-01-02,2014-01-02,2014-09-01,-unknown-,21,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,ask_question
2014-01-02,2014-01-02,2014-01-02,FEMALE,29,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,show
2014-01-02,2014-01-02,2014-07-15,-unknown-,32,basic,25,en,direct,direct,linked,iOS,Windows Desktop,Chrome,US,search_results
2014-01-02,2014-01-02,2014-01-03,MALE,37,facebook,12,en,api,other,untracked,iOS,iPhone,-unknown-,US,index
2014-01-02,2014-01-02,2014-01-09,MALE,31,basic,0,en,direct,direct,untracked,Web,Desktop (Other),Chromium,US,create
2014-01-02,2014-01-02,2014-01-02,FEMALE,32,basic,0,en,sem-brand,google,linked,Web,Windows Desktop,Firefox,other,show
2014-01-02,2014-01-02,2014-01-02,FEMALE,68,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US,signup_login
2014-01-02,2014-01-02,2014-01-06,MALE,28,facebook,0,ko,direct,direct,untracked,Web,Windows Desktop,IE,FR,search_results
2014-01-02,2014-01-02,2014-01-04,FEMALE,24,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,show
2014-01-02,2014-01-02,2014-02-23,MALE,28,facebook,12,en,api,other,untracked,iOS,iPhone,Mobile Safari,US,active
2014-01-02,2014-01-02,2014-01-12,-unknown-,29,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US,hosting_social_proof
2014-01-02,2014-01-02,2014-01-08,MALE,33,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,IE,other,calendar_tab_inner2
2014-01-02,2014-01-02,2014-01-03,MALE,67,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US,search_results
2014-01-02,2014-01-02,2014-01-02,FEMALE,38,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,IE,US,requested
2014-01-02,2014-01-02,2014-01-14,MALE,73,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,other,dashboard
2014-01-02,2014-01-02,2014-01-07,FEMALE,57,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,ask_question
2014-01-02,2014-01-02,2014-01-03,MALE,41,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,US,authenticate
2014-01-02,2014-01-02,2014-01-02,FEMALE,66,basic,0,en,sem-brand,google,untracked,Web,Windows Desktop,IE,FR,index
2014-01-02,2014-01-02,2014-01-02,FEMALE,22,basic,0,en,seo,facebook,untracked,Web,Mac Desktop,Chrome,US,requested
2014-01-02,2014-01-02,2014-09-09,-unknown-,26,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US,ajax_refresh_subtotal
2014-01-02,2014-01-02,2014-01-02,-unknown-,29,basic,12,en,api,other,untracked,Android,Other/Unknown,-unknown-,US,search
2014-01-02,2014-01-02,2014-01-03,MALE,40,basic,0,en,direct,direct,omg,Web,Mac Desktop,Safari,US,show
2014-01-02,2014-01-02,2014-07-12,FEMALE,31,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,CA,update
2014-01-02,2014-01-02,2014-01-03,-unknown-,34,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,show
2014-01-02,2014-01-02,2014-01-03,MALE,42,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,FR,authenticate
2014-01-02,2014-01-02,2014-01-20,-unknown-,46,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,US,show
2014-01-02,2014-01-02,2014-01-07,FEMALE,30,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US,track_page_view
2014-01-02,2014-01-02,2014-02-05,FEMALE,25,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,personalize
2014-01-02,2014-01-02,2014-01-05,MALE,30,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,US,show
2014-01-02,2014-01-02,2014-01-02,FEMALE,39,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,FR,create
2014-01-02,2014-01-02,2014-04-21,-unknown-,30,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,show
2014-01-02,2014-01-02,2014-02-06,MALE,41,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,other,create
2014-01-02,2014-01-02,2014-01-04,FEMALE,33,basic,0,en,sem-non-brand,google,linked,Web,Windows Desktop,Chrome,US,show
2014-01-02,2014-01-02,2014-01-02,-unknown-,29,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,identity
2014-01-02,2014-01-02,2014-01-16,FEMALE,30,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,ES,authenticate
2014-01-02,2014-01-02,2014-01-19,FEMALE,28,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US,search_results
2014-01-02,2014-01-02,2014-01-05,-unknown-,45,basic,0,en,direct,direct,linked,Web,Windows Desktop,IE,US,show
2014-01-02,2014-01-02,2014-03-31,FEMALE,41,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,FR,search_results
2014-01-02,2014-01-02,2014-02-12,FEMALE,35,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,other,show
2014-01-02,2014-01-02,2014-09-14,FEMALE,59,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,IE,US,show
2014-01-02,2014-01-02,2014-01-03,MALE,31,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,identity
2014-01-02,2014-01-02,2014-01-03,FEMALE,41,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,search_results
2014-01-02,2014-01-02,2014-01-02,FEMALE,25,basic,0,en,sem-non-brand,google,linked,Web,Mac Desktop,Safari,US,identity
2014-01-02,2014-01-02,2014-01-02,MALE,26,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,other,ajax_refresh_subtotal
2014-01-02,2014-01-02,2014-01-03,MALE,39,basic,0,en,seo,google,linked,Web,Windows Desktop,Chrome,US,confirm_email
2014-01-02,2014-01-02,2014-01-03,FEMALE,27,basic,0,en,seo,google,linked,Web,Windows Desktop,Chrome,US,show
2014-01-02,2014-01-02,2014-01-02,FEMALE,63,basic,0,en,sem-non-brand,bing,linked,Web,Windows Desktop,Chrome,other,show
2014-01-02,2014-01-02,2014-01-04,-unknown-,51,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,index
2014-01-02,2014-01-02,2014-01-03,MALE,41,facebook,0,en,direct,direct,untracked,Web,Windows Desktop,IE,other,kba_update
2014-01-02,2014-01-02,2014-01-02,MALE,50,basic,0,sv,direct,direct,linked,Web,Mac Desktop,Safari,US,show
2014-01-02,2014-01-02,2014-01-16,MALE,28,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,show
2014-01-02,2014-01-02,2014-04-15,FEMALE,85,facebook,0,en,direct,direct,omg,Web,Windows Desktop,IE,GB,show
2014-01-02,2014-01-02,2014-11-09,FEMALE,24,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,search_results
2014-01-02,2014-01-02,2014-01-10,MALE,30,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,lookup
2014-01-02,2014-01-02,2014-01-12,-unknown-,41,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,FR,personalize
2014-01-02,2014-01-02,2014-01-02,-unknown-,34,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,identity
2014-01-02,2014-01-02,2014-01-03,FEMALE,28,facebook,12,en,api,other,untracked,Moweb,Mac Desktop,Safari,US,active
2014-01-02,2014-01-02,2014-01-03,MALE,39,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,show
2014-01-02,2014-01-02,2014-01-03,MALE,71,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,US,show
2014-01-02,2014-01-02,2014-11-25,MALE,26,facebook,0,en,other,padmapper,tracked-other,Web,Windows Desktop,Chrome,US,ajax_refresh_subtotal
2014-01-02,2014-01-02,2014-01-03,MALE,28,facebook,0,en,direct,direct,tracked-other,Web,Mac Desktop,Chrome,US,requested
2014-01-02,2014-01-02,2014-01-03,-unknown-,40,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,ajax_photo_widget_form_iframe
2014-01-03,2014-01-03,2014-01-03,MALE,26,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US,lookup
2014-01-03,2014-01-03,2014-01-03,MALE,31,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,US,identity
2014-01-03,2014-01-03,2014-01-03,-unknown-,40,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US,show
2014-01-03,2014-01-03,2014-04-12,FEMALE,26,facebook,12,en,api,other,untracked,iOS,iPhone,-unknown-,US,active
2014-01-03,2014-01-03,2014-01-09,MALE,23,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,search_results
2014-01-03,2014-01-03,2014-08-01,FEMALE,41,facebook,0,en,sem-non-brand,google,untracked,Web,iPad,Mobile Safari,CA,show
2014-01-03,2014-01-03,2014-01-03,MALE,31,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,requested
2014-01-03,2014-01-03,2014-01-03,MALE,38,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Firefox,US,requested
2014-01-03,2014-01-03,2014-03-14,MALE,33,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,IT,search_results
2014-01-03,2014-01-03,2014-01-19,-unknown-,36,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,other,show
2014-01-03,2014-01-03,2014-01-03,MALE,54,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,US,ajax_photo_widget_form_iframe
2014-01-03,2014-01-03,2014-01-03,MALE,37,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,show
2014-01-03,2014-01-03,2014-01-03,MALE,24,facebook,12,en,api,other,untracked,Moweb,iPhone,Chrome Mobile,US,show
2014-01-03,2014-01-03,2014-01-06,MALE,28,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,other,show
2014-01-03,2014-01-03,2014-03-31,FEMALE,24,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,lookup
2014-01-03,2014-01-03,2014-08-26,MALE,32,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,update
2014-01-03,2014-01-03,2014-01-04,FEMALE,36,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,ajax_refresh_subtotal
2014-01-03,2014-01-03,2014-08-20,-unknown-,38,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,ES,show
2014-01-03,2014-01-03,2014-01-03,-unknown-,27,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,index
2014-01-03,2014-01-03,2014-01-06,MALE,35,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,personalize
2014-01-03,2014-01-03,2014-01-03,MALE,26,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,travel_plans_current
2014-01-03,2014-01-03,2014-01-06,MALE,33,basic,12,en,api,other,untracked,Android,Other/Unknown,-unknown-,US,search
2014-01-03,2014-01-03,2014-01-03,MALE,32,basic,0,en,direct,direct,untracked,Web,iPad,Chrome Mobile,US,lookup
2014-01-03,2014-01-03,2014-01-03,MALE,36,facebook,0,en,direct,direct,omg,Web,Mac Desktop,Safari,US,requested
2014-01-03,2014-01-03,2014-04-04,-unknown-,37,basic,0,en,content,google,tracked-other,Web,iPhone,Mobile Safari,ES,search_results
2014-01-03,2014-01-03,2014-01-03,MALE,36,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,GB,pending
2014-01-03,2014-01-03,2014-01-06,FEMALE,28,facebook,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,US,lookup
2014-01-03,2014-01-03,2014-10-06,MALE,21,facebook,12,en,api,other,untracked,iOS,Mac Desktop,Safari,US,active
2014-01-03,2014-01-03,2014-01-05,FEMALE,24,facebook,12,de,api,other,untracked,iOS,iPhone,Mobile Safari,US,active
2014-01-03,2014-01-03,2014-04-17,FEMALE,48,basic,0,en,direct,direct,omg,Web,Windows Desktop,IE,US,show
2014-01-03,2014-01-03,2014-01-13,FEMALE,61,basic,0,en,direct,direct,untracked,Web,iPad,Mobile Safari,other,update
2014-01-03,2014-01-03,2014-01-03,MALE,21,basic,0,zh,direct,direct,linked,Web,Mac Desktop,Safari,US,search_results
2014-01-03,2014-01-03,2014-01-07,FEMALE,25,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US,show
2014-01-03,2014-01-03,2014-01-03,FEMALE,24,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,show
2014-01-03,2014-01-03,2014-02-24,MALE,27,basic,0,en,direct,direct,linked,Web,Desktop (Other),Chrome,other,search_results
2014-01-03,2014-01-03,2014-01-03,MALE,27,facebook,0,en,seo,facebook,linked,Web,Mac Desktop,Safari,US,show
2014-01-03,2014-01-03,2014-01-05,MALE,49,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,ask_question
2014-01-03,2014-01-03,2014-01-06,FEMALE,32,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,show
2014-01-03,2014-01-03,2014-01-03,FEMALE,41,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,lookup
2014-01-03,2014-01-03,2014-01-06,MALE,62,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,show
2014-01-03,2014-01-03,2014-01-24,MALE,31,basic,0,en,direct,direct,omg,Web,Mac Desktop,Safari,GB,lookup
2014-01-03,2014-01-03,2014-01-03,-unknown-,48,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,show
2014-01-03,2014-01-03,2014-10-04,MALE,43,basic,12,en,api,other,untracked,Android,Other/Unknown,-unknown-,other,collections
2014-01-03,2014-01-03,2014-05-12,FEMALE,23,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,DE,ajax_refresh_subtotal
2014-01-03,2014-01-03,2014-01-12,FEMALE,44,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,lookup
2014-01-03,2014-01-03,2014-06-13,FEMALE,36,basic,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Chrome,US,show
2014-01-03,2014-01-03,2014-05-05,MALE,23,basic,0,de,direct,direct,linked,Web,iPhone,Mobile Safari,AU,show
2014-01-03,2014-01-03,2014-01-03,-unknown-,36,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,apply_reservation
2014-01-03,2014-01-03,2014-06-26,MALE,32,facebook,12,en,api,other,untracked,iOS,iPhone,-unknown-,US,active
2014-01-03,2014-01-03,2014-01-03,-unknown-,31,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,other,search_results
2014-01-03,2014-01-03,2014-03-08,FEMALE,33,basic,25,en,direct,direct,untracked,iOS,iPhone,-unknown-,US,show
2014-01-03,2014-01-03,2014-01-20,MALE,25,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US,ajax_photo_widget_form_iframe
2014-01-03,2014-01-03,2014-05-27,FEMALE,32,facebook,0,ko,direct,direct,untracked,Web,Windows Desktop,Chrome,US,show
2014-01-03,2014-01-03,2014-01-04,MALE,32,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,search_results
2014-01-03,2014-01-03,2014-01-06,MALE,28,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,other,lookup
2014-01-03,2014-01-03,2014-05-20,MALE,19,facebook,12,pl,api,other,omg,iOS,Mac Desktop,Safari,ES,active
2014-01-03,2014-01-03,2014-01-04,FEMALE,24,basic,0,fr,sem-brand,google,omg,Web,Windows Desktop,Firefox,other,identity
2014-01-03,2014-01-03,2014-01-04,MALE,30,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,other,index
2014-01-03,2014-01-03,2014-01-07,FEMALE,32,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,US,edit
2014-01-03,2014-01-03,2014-01-04,MALE,19,basic,25,en,direct,direct,untracked,iOS,iPhone,Mobile Safari,other,show
2014-01-03,2014-01-03,2014-01-03,MALE,32,basic,25,en,direct,direct,untracked,iOS,iPhone,Mobile Safari,US,kba_update
2014-01-03,2014-01-03,2014-01-04,FEMALE,30,basic,0,en,direct,direct,untracked,Web,Windows Desktop,IE,US,12
2014-01-03,2014-01-03,2014-03-25,FEMALE,26,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,US,show
2014-01-03,2014-01-03,2014-01-06,FEMALE,35,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Chrome,US,show
2014-01-03,2014-01-03,2014-01-04,-unknown-,31,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,show
2014-01-03,2014-01-03,2014-01-03,MALE,37,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US,lookup
2014-01-03,2014-01-03,2014-01-04,MALE,42,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,FR,edit
2014-01-03,2014-01-03,2014-03-20,MALE,26,facebook,0,en,direct,direct,tracked-other,Web,Mac Desktop,Safari,US,authenticate
2014-01-03,2014-01-03,2014-01-04,-unknown-,37,basic,25,en,direct,direct,untracked,iOS,Mac Desktop,Safari,US,10
2014-01-03,2014-01-03,2014-01-04,FEMALE,30,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,show
2014-01-03,2014-01-03,2014-01-03,FEMALE,23,facebook,12,fr,api,other,untracked,iOS,iPhone,Mobile Safari,US,active
2014-01-03,2014-01-03,2014-05-11,MALE,31,facebook,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,track_page_view
2014-01-03,2014-01-03,2014-01-07,MALE,35,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,qt2
2014-01-03,2014-01-03,2014-01-03,MALE,28,basic,0,en,direct,direct,tracked-other,Web,Mac Desktop,Safari,US,dashboard
2014-01-03,2014-01-03,2014-01-04,FEMALE,27,basic,24,en,direct,direct,untracked,Moweb,Other/Unknown,-unknown-,US,search
2014-01-03,2014-01-03,2014-01-03,-unknown-,37,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US,ajax_refresh_subtotal
2014-01-03,2014-01-03,2014-10-15,MALE,32,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US,requested
2014-01-03,2014-01-03,2014-02-10,FEMALE,36,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,IE,US,search_results
2014-01-03,2014-01-03,2014-02-24,-unknown-,38,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Firefox,US,ajax_refresh_subtotal
