,most_frequent_secs_elapsed,age,most_frequent_action,most_frequent_action_detail,first_browser,gender,most_frequent_action_type,affiliate_channel,most_frequent_device_type,first_device_type,first_affiliate_tracked,language,signup_method,affiliate_provider,signup_app,signup_flow
26,32.0,22,114,73,6,2,2,2,6,3,0,5,1,3,2,0
27,52.0,25,114,0,0,2,0,0,1,4,6,5,1,11,0,12
28,316.0,29,24,32,6,2,6,2,5,2,0,5,1,3,2,0
29,80.0,41,4,0,0,2,0,0,0,8,6,5,1,11,3,12
30,474.0,22,24,13,17,2,2,2,11,8,6,5,0,3,3,25
31,385.0,25,110,73,6,2,2,5,6,3,3,5,1,7,2,0
32,21.0,57,114,75,23,1,7,5,6,3,3,5,1,7,2,0
33,8.0,47,87,0,17,1,0,5,10,7,3,5,0,7,2,0
34,27.0,46,85,0,6,2,0,2,6,3,6,5,0,3,2,0
35,490.0,29,4,0,6,2,0,0,0,3,6,5,1,11,3,12
36,42.0,26,87,73,23,0,7,5,6,3,3,5,0,7,2,0
37,10.0,24,110,73,23,2,2,2,6,3,0,5,1,3,2,0
38,3.0,34,114,59,11,2,2,2,8,6,6,5,0,3,2,0
39,63.0,24,4,0,0,2,0,0,0,4,6,5,1,11,3,12
40,55.0,25,114,43,23,0,7,6,6,3,3,5,0,7,2,0
41,153.0,35,4,0,17,2,0,0,0,8,6,5,1,11,3,12
42,64.0,47,126,0,6,2,0,2,0,3,0,5,0,3,1,24
43,261.0,68,131,0,23,2,0,2,6,3,6,5,0,3,2,0
44,70.0,73,4,0,6,0,0,5,0,6,6,5,0,7,2,0
45,20.0,38,114,73,23,2,7,5,6,3,3,5,1,7,2,0
46,11.0,54,114,43,6,1,3,6,8,6,3,5,0,7,2,0
47,16.0,24,114,11,6,0,2,2,8,6,0,5,0,3,2,0
48,29.0,47,114,75,10,0,3,2,6,3,6,5,0,3,2,0
49,503.0,29,43,0,6,1,0,2,8,6,6,5,0,3,2,0
50,328.0,37,62,0,6,2,0,2,6,3,0,5,0,3,2,0
51,383.0,41,131,0,6,2,6,2,8,6,6,5,0,3,2,0
52,43.0,43,43,0,10,2,7,2,8,6,0,5,0,3,2,0
53,107.0,45,114,11,23,1,2,2,6,3,0,5,1,3,2,0
54,10.0,27,70,73,17,1,2,2,6,8,6,5,1,3,2,0
55,52.0,46,43,0,23,1,0,2,6,3,3,5,0,3,2,0
56,144.0,25,114,11,11,1,3,2,8,6,0,8,0,3,2,0
57,5.0,34,114,0,7,1,0,2,0,0,6,5,0,3,1,24
58,70.0,40,114,0,0,1,0,0,11,8,6,5,1,11,3,12
59,6.0,31,13,0,6,1,0,6,8,6,3,5,0,7,2,0
60,2.0,54,127,0,11,2,0,2,8,6,0,5,0,3,2,0
61,7.0,41,102,0,6,1,7,2,8,6,6,5,1,3,2,0
62,78.0,62,131,0,17,2,0,2,10,7,6,5,1,3,2,0
63,53.0,51,114,0,6,1,0,0,0,6,6,5,1,11,3,12
64,502.0,35,4,0,0,2,0,0,0,8,6,5,1,11,3,12
65,26.0,21,24,20,10,1,7,7,8,6,4,5,1,5,2,0
66,24.0,56,131,0,23,1,0,5,6,3,3,5,0,7,2,0
67,85.0,27,114,0,7,0,0,2,1,0,6,5,0,3,3,25
68,75.0,42,62,0,0,2,0,0,1,4,6,5,0,11,0,12
69,3.0,27,114,0,0,2,0,0,1,4,6,5,1,11,0,12
70,78.0,31,131,0,11,1,0,5,8,6,3,5,1,7,2,0
71,5.0,36,87,75,17,1,3,2,10,7,3,5,1,3,2,0
72,35.0,36,114,75,17,1,3,7,10,7,0,5,1,7,2,0
73,938.0,39,114,73,6,2,2,2,6,3,6,5,0,3,2,0
74,10.0,32,114,0,6,2,7,2,6,3,6,5,1,3,2,0
75,38.0,36,110,73,17,0,2,2,10,7,0,5,0,3,2,0
76,80.0,36,131,0,6,2,0,2,6,3,6,5,0,3,2,0
77,88.0,45,48,0,10,2,0,2,8,6,6,5,0,3,2,0
78,947.0,24,114,0,6,1,2,2,8,6,0,5,0,3,2,0
79,12.0,26,114,37,6,2,7,2,6,3,6,5,1,3,2,0
80,168.0,18,4,0,6,2,0,0,0,6,0,18,1,11,3,12
81,82.0,50,43,0,17,2,3,2,10,7,6,5,0,3,2,0
82,52.0,27,24,0,17,2,0,0,11,8,6,5,1,11,3,12
83,44.0,22,114,73,6,1,2,5,6,3,3,5,1,7,2,0
84,3647.0,29,24,25,6,1,3,7,6,3,0,5,1,7,2,0
85,0.0,54,106,45,23,0,7,5,6,3,6,5,0,7,2,0
86,20.0,41,114,43,23,1,3,6,6,3,3,12,1,7,2,0
87,0.0,29,110,73,23,2,2,2,6,3,6,5,1,3,2,0
88,17.0,33,45,20,6,2,7,2,6,3,6,5,1,3,2,0
89,24.0,61,114,73,10,0,2,2,6,3,6,5,0,3,2,0
90,19.0,24,114,0,0,2,0,0,1,4,6,5,1,11,0,12
91,965.0,33,43,0,10,1,6,2,6,3,0,5,0,3,2,0
92,73.0,84,131,0,10,2,0,2,8,6,0,5,1,3,2,0
93,0.0,37,70,73,6,0,7,2,8,6,0,5,0,3,2,0
94,32.0,29,114,0,17,1,7,5,10,7,0,5,0,7,2,0
95,6.0,59,114,0,11,1,0,2,8,6,0,5,0,3,2,0
96,17.0,39,110,73,17,2,2,5,10,7,3,5,1,7,2,0
97,4510.0,25,43,19,6,2,3,2,6,3,0,5,0,3,2,0
98,0.0,24,114,73,6,2,3,2,6,3,6,5,0,3,2,0
99,6.0,45,62,0,0,0,0,2,1,4,6,5,0,3,0,23
100,8.0,37,114,75,6,2,3,2,8,6,6,5,1,3,2,0
101,278.0,55,24,0,11,1,0,2,8,6,6,5,1,3,2,0
102,1.0,23,87,75,10,2,3,6,8,6,6,8,0,7,2,0
103,52.0,31,106,45,6,2,7,2,6,3,0,5,0,3,2,0
104,10.0,56,60,0,6,0,0,7,8,6,0,5,0,7,2,0
105,47.0,31,4,0,6,1,0,0,0,3,3,5,1,11,3,12
106,452.0,33,27,0,11,1,0,7,7,1,0,23,1,5,2,0
107,4.0,34,110,73,23,2,2,2,6,3,6,5,1,3,2,0
108,15.0,28,114,73,17,1,3,2,10,7,6,5,1,3,2,0
109,36.0,28,114,0,0,1,0,0,11,8,6,5,1,11,3,12
110,0.0,26,106,36,17,0,7,5,10,7,3,5,0,7,2,0
111,187.0,62,114,43,1,0,7,2,8,6,6,5,0,3,2,0
112,41.0,42,110,73,23,2,2,2,6,3,6,5,0,3,2,0
113,2.0,38,13,0,23,2,0,2,6,3,0,5,0,3,3,25
114,48.0,36,70,73,11,0,2,2,8,6,0,5,0,3,2,0
115,25.0,31,70,73,6,0,3,2,8,6,0,5,0,3,2,0
116,50.0,67,52,0,23,2,0,5,0,3,3,5,0,7,2,0
117,422.0,25,4,0,6,2,0,0,0,3,6,5,1,11,3,12
118,91.0,30,110,73,23,2,2,5,6,3,3,5,1,7,2,0
119,35.0,26,114,0,0,1,0,2,11,8,6,5,0,3,3,25
120,11.0,42,110,0,10,0,0,6,8,6,3,3,0,7,2,0
121,52.0,58,114,11,6,1,3,6,8,6,3,5,0,7,2,0
122,519.0,47,39,0,10,1,0,2,6,3,6,5,0,3,2,0
123,1.0,38,87,73,10,2,3,2,6,3,6,5,1,3,2,0
124,15.0,57,114,43,23,2,7,2,6,3,6,5,0,3,2,0
125,0.0,39,114,36,17,2,4,2,11,8,6,5,0,3,3,25
126,113.0,100,114,0,23,0,2,5,6,3,3,5,0,7,2,0
127,26.0,29,131,0,17,0,0,2,10,7,3,5,0,3,2,0
128,16.0,30,13,0,6,1,0,5,6,3,3,5,0,7,2,0
129,141.0,31,4,0,6,1,0,0,0,6,3,5,1,11,3,12
130,491.0,25,102,49,6,2,7,2,4,2,0,5,1,3,2,0
131,48.0,65,4,0,17,2,0,0,0,7,5,5,1,11,3,12
132,110.0,34,114,73,23,0,7,2,6,3,6,5,0,3,2,0
133,88.0,30,70,73,23,2,2,5,6,3,3,5,0,7,2,0
134,1024.0,21,22,14,6,0,4,2,6,3,6,5,0,3,2,0
135,76.0,29,114,0,23,1,0,2,6,3,6,5,0,3,2,0
136,42.0,32,110,73,6,0,2,2,8,6,0,5,0,3,3,25
137,3.0,36,70,73,10,2,2,4,8,6,6,5,1,7,2,0
138,3.0,37,62,0,0,2,0,0,11,8,6,5,1,11,3,12
139,83.0,22,114,75,17,2,3,2,10,7,0,5,1,3,2,0
140,60.0,26,110,73,10,2,2,5,8,6,3,23,1,7,2,0
141,64.0,26,15,11,11,1,3,2,8,6,6,5,1,3,2,0
142,217.0,31,43,0,8,2,0,2,5,2,6,5,0,3,2,0
143,490.0,50,4,0,0,2,0,2,0,8,6,5,0,3,3,25
144,85.0,39,114,73,23,2,7,2,6,3,6,5,1,3,2,0
145,47.0,25,4,0,17,1,0,0,0,8,0,5,1,11,3,12
146,96.0,19,110,73,17,1,2,7,10,7,3,5,0,7,2,0
147,19.0,32,114,0,10,1,7,5,8,6,0,5,0,7,2,0
148,2.0,37,114,73,23,1,7,2,6,3,3,5,0,3,2,0
149,2.0,51,114,73,11,2,2,2,8,6,6,5,0,3,2,0
150,237.0,68,117,57,10,1,7,2,8,6,0,5,0,3,2,0
151,77.0,28,110,73,11,2,2,2,8,6,6,14,1,3,2,0
152,3.0,24,114,19,23,1,7,5,6,3,3,5,0,7,2,0
153,87.0,27,15,0,6,2,0,5,5,2,6,5,1,7,2,0
154,69.0,24,114,11,6,1,2,5,8,6,3,14,1,7,2,0
155,8.0,24,131,0,6,2,0,2,8,6,0,5,0,3,2,0
156,191.0,28,4,0,17,2,0,0,0,8,6,5,1,11,3,12
157,3546.0,29,59,0,6,0,0,5,8,6,3,5,0,7,2,0
158,2772.0,47,24,0,6,2,0,3,8,6,5,5,1,11,2,0
159,50.0,22,4,0,6,2,0,0,0,3,3,23,1,11,3,12
160,93.0,53,114,32,6,1,3,1,8,6,3,5,1,7,2,0
161,102.0,27,4,0,0,2,0,0,0,8,6,6,1,11,3,12
162,38.0,32,4,0,0,2,0,0,0,4,6,5,1,11,3,12
163,157.0,33,27,0,11,2,0,2,8,6,6,5,1,3,2,0
164,29.0,67,110,73,17,2,2,2,10,7,0,5,0,3,2,0
165,70.0,57,110,73,23,2,2,6,6,3,3,5,1,7,2,0
166,0.0,38,106,45,11,1,7,6,8,6,3,5,0,7,2,0
167,15.0,31,27,0,19,2,0,5,8,6,3,4,1,7,2,0
168,0.0,27,114,36,17,1,4,2,11,8,6,5,0,3,3,25
169,10.0,73,45,0,10,2,0,2,0,6,0,5,0,3,2,0
170,179.0,47,59,0,10,1,0,3,6,3,5,5,1,6,2,0
171,919.0,57,22,14,23,1,4,2,6,3,0,5,0,3,2,0
172,0.0,41,24,25,10,2,3,5,8,6,3,5,1,7,2,0
173,38.0,66,62,0,11,1,0,5,8,6,6,5,0,7,2,0
174,0.0,22,106,45,6,1,7,7,6,3,6,5,0,5,2,0
175,615.0,26,15,11,17,0,2,2,10,7,0,5,0,3,2,0
176,10.0,29,109,0,0,0,0,0,1,4,6,5,0,11,0,12
177,10.0,40,114,73,23,2,7,2,6,3,3,5,0,3,2,0
178,30.0,31,131,0,6,1,0,2,8,6,0,5,0,3,2,0
179,2.0,89,110,0,23,0,2,6,6,3,3,5,0,7,2,0
180,26.0,34,114,11,6,0,2,2,8,6,0,5,0,3,2,0
181,112.0,42,24,0,10,2,3,2,8,6,6,5,1,3,2,0
182,38.0,39,131,0,10,0,0,5,6,3,0,5,0,7,2,0
183,3.0,43,114,73,11,1,2,2,7,1,6,5,1,3,2,0
184,789.0,46,114,0,11,0,7,2,8,6,6,5,0,3,2,0
185,4.0,30,127,0,10,1,7,2,8,6,6,5,1,3,2,0
186,81.0,38,87,0,10,2,0,2,6,3,0,5,1,3,2,0
187,31.0,25,87,75,6,1,3,2,8,6,6,5,0,3,2,0
188,0.0,30,114,0,11,2,7,2,8,6,6,5,0,3,2,0
189,3.0,27,114,0,6,1,0,2,8,6,6,5,1,3,2,0
190,0.0,39,43,0,11,1,3,2,8,6,6,5,0,3,2,0
191,629.0,29,24,25,6,2,3,7,8,6,0,23,1,7,2,0
192,6.0,30,114,75,6,0,3,2,8,6,6,5,0,3,2,0
193,129.0,41,43,0,6,2,0,5,8,6,3,5,0,7,2,0
194,55.0,33,114,75,6,1,3,6,8,6,0,5,0,7,2,0
195,400.0,29,60,0,10,0,0,2,6,3,6,5,0,3,2,0
196,2473.0,30,24,32,10,1,6,2,6,3,6,5,1,3,2,0
197,28.0,28,110,0,6,1,0,5,6,3,3,5,0,7,2,0
198,3.0,45,114,0,11,0,0,2,8,6,0,5,0,3,2,0
199,12.0,41,114,0,6,2,0,1,6,3,3,14,1,7,2,0
200,26.0,41,110,73,10,1,2,5,6,3,3,5,0,7,2,0
201,22.0,34,114,0,0,1,0,0,11,8,6,5,1,11,3,12
202,129.0,35,114,73,6,1,3,2,6,3,0,5,0,3,2,0
203,14.0,59,114,0,11,1,0,5,8,6,3,5,1,7,2,0
204,0.0,31,60,0,6,2,0,2,8,6,6,5,0,3,2,0
205,60.0,33,131,0,6,1,0,2,8,6,6,5,1,3,2,0
206,11.0,28,62,0,10,0,0,2,8,6,0,5,0,3,2,0
207,6.0,39,7,14,6,2,2,7,8,6,0,5,1,7,2,0
208,16.0,39,70,73,11,1,2,2,8,6,0,5,1,3,2,0
209,0.0,41,110,73,23,1,2,2,6,3,6,5,0,3,2,0
210,40.0,25,60,0,23,1,0,6,10,3,0,5,0,7,2,0
211,43.0,26,15,11,6,2,2,2,8,6,6,5,0,3,2,0
212,542.0,39,37,0,6,2,0,7,8,6,0,5,0,7,2,0
213,2.0,27,114,0,6,1,0,7,8,6,0,5,0,7,2,0
214,47.0,63,114,75,6,1,3,6,8,6,0,5,0,1,2,0
215,683.0,36,22,14,17,1,4,6,10,7,6,5,0,7,2,0
216,7.0,61,62,0,23,2,7,2,8,3,6,5,0,3,2,0
217,16.0,51,62,73,23,0,7,2,6,3,0,5,0,3,2,0
218,666.0,41,67,0,11,2,0,2,8,6,6,5,1,3,2,0
219,74.0,50,114,0,23,2,0,2,6,3,0,20,0,3,2,0
220,1123.0,28,114,73,6,2,2,2,8,6,0,5,1,3,2,0
221,104.0,32,48,0,6,2,7,2,8,6,6,5,0,3,2,0
222,4.0,85,114,43,11,1,7,2,8,6,3,5,1,3,2,0
223,3.0,24,110,73,23,1,2,2,6,3,0,5,0,3,2,0
224,404.0,23,48,21,11,0,7,2,8,6,0,5,0,3,2,0
225,12.0,30,70,73,23,2,2,5,6,3,3,5,0,7,2,0
226,543.0,41,87,75,10,0,3,2,8,6,6,5,0,3,2,0
227,55.0,34,60,0,23,0,0,2,6,3,6,5,0,3,2,0
228,53.0,28,4,0,23,1,0,0,0,3,6,5,1,11,1,12
229,6.0,39,114,75,10,2,2,2,6,3,0,5,1,3,2,0
230,24.0,22,51,0,6,2,0,5,6,3,6,5,1,7,2,0
231,7.0,29,114,73,23,1,3,5,6,3,3,5,0,7,2,0
232,22.0,71,114,11,6,2,3,6,8,6,3,5,0,7,2,0
233,21.0,41,114,11,10,2,2,2,6,3,6,5,0,3,2,0
234,46.0,26,15,0,6,2,2,3,8,6,5,5,1,12,2,0
235,56.0,31,4,0,17,1,0,0,0,7,3,5,1,11,3,12
236,65.0,46,114,0,11,2,0,2,0,6,6,5,0,3,1,24
237,17.0,25,114,0,0,1,0,0,11,8,6,5,1,11,3,12
238,431.0,23,70,0,23,0,0,2,6,3,0,5,0,3,2,0
239,0.0,28,106,45,6,2,6,2,6,3,5,5,1,3,2,0
240,69.0,40,13,0,23,0,0,2,6,3,6,5,0,3,2,0
241,9.0,26,70,73,17,2,2,2,10,7,0,5,0,3,2,0
242,21.0,31,60,0,23,2,0,6,6,3,3,5,0,7,2,0
243,25.0,40,114,0,10,0,7,2,8,6,6,5,0,3,2,0
244,50.0,21,4,0,0,1,0,0,0,8,6,5,1,11,3,12
245,3.0,28,114,75,17,1,3,6,10,7,6,5,0,7,2,0
246,67.0,63,4,0,17,2,0,5,10,7,3,5,0,7,2,0
247,38.0,44,110,73,23,2,2,1,6,3,3,5,0,7,2,0
248,110.0,57,131,0,17,1,0,2,10,7,6,12,0,3,2,0
249,60.0,43,87,0,10,2,3,2,8,6,0,5,0,3,2,0
250,65.0,26,4,0,0,1,0,0,0,8,6,5,1,11,3,12
251,51.0,23,110,73,23,2,2,5,6,3,3,5,0,7,2,0
252,355.0,47,43,0,6,1,0,5,8,6,3,5,0,7,2,0
253,19.0,41,114,43,17,1,7,6,10,7,6,5,1,7,2,0
254,15.0,37,4,0,0,1,0,0,11,8,6,5,1,11,3,12
255,1.0,33,110,73,10,2,2,1,8,6,3,5,1,7,2,0
256,202.0,52,62,0,0,1,0,0,11,8,6,5,1,11,3,12
257,0.0,31,106,0,10,2,7,2,6,3,0,5,0,3,2,0
258,168.0,34,109,0,0,2,0,0,1,4,6,8,1,11,0,12
259,923.0,29,24,32,17,2,6,7,10,7,0,5,1,7,2,0
260,0.0,42,22,14,6,2,6,7,8,6,0,5,1,7,2,0
261,4.0,49,131,0,6,2,0,2,8,6,0,5,1,3,2,0
262,51.0,30,4,0,0,1,0,0,0,4,6,5,1,11,3,12
263,200.0,43,24,32,6,2,6,2,6,3,6,5,1,3,2,0
264,6.0,39,24,32,23,2,3,2,6,3,6,5,1,3,2,0
265,0.0,38,106,45,10,2,7,2,8,6,6,5,0,3,2,0
266,3429.0,21,24,25,23,1,3,2,6,3,0,5,1,3,2,0
267,66.0,28,4,0,0,1,0,0,10,7,6,5,1,11,3,12
268,1020.0,33,110,73,6,2,2,2,6,3,0,5,0,3,2,0
269,106.0,55,45,0,6,1,0,2,6,3,6,5,0,3,2,0
270,35.0,36,114,43,10,0,7,2,10,3,6,5,0,3,2,0
271,5.0,54,13,0,6,2,0,6,8,6,3,5,0,7,2,0
272,0.0,37,114,0,10,2,0,2,6,3,0,5,0,3,2,0
273,9.0,24,114,0,7,2,0,0,0,8,6,5,1,11,1,12
274,25.0,39,15,11,6,2,2,3,8,6,5,5,1,12,2,0
275,118.0,59,131,0,10,1,0,5,6,3,3,5,0,7,2,0
276,81.0,27,22,37,23,1,7,2,6,3,6,5,1,3,2,0
277,91.0,40,4,0,0,2,0,0,0,4,6,8,1,11,3,12
278,34.0,28,114,37,6,2,7,5,6,3,3,5,1,7,2,0
279,31.0,24,70,73,23,1,2,2,6,3,6,5,0,3,2,0
280,8.0,32,131,0,23,2,0,5,6,3,3,5,0,7,2,0
281,149.0,36,15,11,10,1,2,2,6,3,6,5,0,3,2,0
282,15.0,38,114,0,23,0,0,5,6,3,3,5,0,7,2,0
283,87.0,27,62,0,10,0,0,2,6,3,6,5,0,3,2,0
284,2.0,35,87,0,10,2,0,2,6,3,6,5,0,3,2,0
285,3.0,26,128,0,6,2,7,2,8,3,6,5,0,3,2,0
286,109.0,33,109,0,0,2,0,0,1,4,6,5,0,11,0,12
287,0.0,32,70,0,7,2,7,2,6,7,6,5,0,3,2,0
288,0.0,36,106,45,23,2,6,2,6,3,3,5,1,3,2,0
289,50.0,37,110,73,17,0,3,1,6,8,5,5,0,7,2,0
290,1000.0,36,85,0,6,2,0,2,8,6,6,5,0,3,2,0
291,2.0,28,70,73,17,1,2,2,10,7,6,5,1,3,2,0
292,174.0,21,4,0,23,2,0,0,0,3,6,5,1,11,3,12
293,27.0,32,15,14,11,1,2,2,6,6,0,5,1,3,2,0
294,177.0,24,4,0,17,1,0,0,0,8,6,3,1,11,3,12
295,623.0,48,114,75,11,1,7,2,6,6,3,5,0,3,2,0
296,10.0,61,131,0,17,1,0,2,10,7,6,5,0,3,2,0
297,5.0,21,110,73,23,2,2,2,6,3,0,23,0,3,2,0
298,177.0,25,109,0,0,2,0,0,1,4,6,5,0,11,0,12
299,1.0,25,114,0,10,1,0,5,6,3,3,5,0,7,2,0
300,57.0,26,114,0,17,1,0,0,0,8,6,5,1,11,3,12
301,31.0,64,52,0,23,1,0,5,0,3,6,5,1,7,2,0
302,1220.0,26,110,73,17,2,2,2,10,7,6,5,0,3,3,25
303,53.0,24,114,0,6,1,0,2,6,3,6,5,0,3,2,0
304,23.0,27,110,73,6,2,2,2,4,2,0,5,0,3,2,0
305,40.0,32,114,73,10,0,7,2,6,3,0,5,0,3,2,0
306,59.0,27,114,0,23,2,0,7,6,3,0,5,1,5,2,0
307,54.0,31,4,0,0,1,0,0,0,8,6,5,1,11,3,12
308,396.0,49,22,13,23,2,6,2,6,3,6,5,0,3,2,0
309,753.0,32,114,0,6,1,0,2,8,6,6,5,0,3,2,0
310,4.0,26,114,73,23,1,2,2,6,3,6,5,0,3,2,0
311,33.0,67,127,75,23,1,3,5,10,3,3,5,0,7,2,0
312,964.0,41,70,73,10,1,2,2,6,3,6,5,1,3,2,0
313,25.0,24,114,75,23,1,3,2,6,3,5,5,1,3,2,0
314,0.0,62,114,0,23,2,7,2,6,3,6,5,0,3,2,0
315,281.0,42,24,25,6,2,3,1,8,6,3,5,1,7,2,0
316,17.0,31,70,0,23,2,7,2,6,3,3,5,0,3,2,0
317,16.0,48,114,0,10,0,7,2,6,3,0,5,0,3,2,0
318,141.0,39,26,0,0,0,0,0,1,4,6,5,0,11,0,12
319,319.0,39,60,0,6,2,0,0,6,3,6,5,1,11,2,12
320,31.0,35,131,0,23,2,0,2,6,3,3,5,0,3,2,0
321,7.0,35,114,75,6,2,7,2,8,6,0,5,1,3,2,0
322,881.0,43,35,0,0,2,0,0,1,4,6,5,0,11,0,12
323,17.0,23,15,0,6,1,2,2,6,3,6,5,0,3,2,0
324,17.0,44,70,73,10,1,3,2,6,3,6,5,0,3,2,0
325,351.0,35,24,0,6,2,0,2,8,6,6,5,1,3,2,0
326,811.0,49,48,21,11,1,7,3,8,6,0,5,0,11,2,0
327,200.0,36,114,11,6,1,3,6,6,3,3,5,0,7,2,0
328,9995.0,26,24,25,6,2,3,2,8,6,0,5,1,3,2,0
329,126000.0,24,0,36,6,0,4,2,11,6,6,5,0,3,3,25
330,61.0,37,131,0,10,2,0,2,8,6,0,5,1,3,2,0
331,45.0,23,114,43,17,2,7,2,6,8,0,3,0,3,2,0
332,0.0,36,21,4,23,0,6,2,6,3,6,5,0,3,2,0
333,0.0,40,114,45,23,0,7,2,6,3,0,5,0,3,2,0
334,27.0,42,70,73,10,0,2,2,6,3,0,5,0,3,2,0
335,44.0,32,4,0,0,2,0,0,0,8,6,5,1,11,3,12
336,507.0,31,110,73,6,0,2,5,6,3,3,5,0,7,2,0
337,17.0,33,62,76,11,1,7,2,8,6,0,5,1,3,2,0
338,83.0,29,114,73,23,1,3,2,6,3,0,5,1,3,2,0
339,33.0,33,114,0,0,1,0,2,11,8,6,5,0,3,3,25
340,488.0,25,13,0,6,2,0,5,8,6,3,5,1,7,2,0
341,332.0,29,114,43,23,1,3,5,6,3,6,5,1,7,2,0
342,1195.0,32,114,11,6,1,2,2,8,6,6,14,1,3,2,0
343,528.0,25,131,0,6,2,0,2,8,6,6,5,0,3,2,0
344,7.0,32,110,73,23,2,2,2,6,3,0,5,0,3,2,0
345,130.0,20,114,0,0,2,0,0,1,4,6,3,1,11,0,12
346,3.0,28,70,0,6,2,2,2,6,3,6,5,1,3,2,0
347,78.0,19,4,0,23,2,0,0,0,3,3,17,1,11,3,12
348,501.0,24,60,0,10,1,0,5,8,6,3,8,0,7,2,0
349,965.0,25,24,25,6,1,2,1,6,3,3,23,1,7,2,0
350,325.0,30,62,0,23,2,0,5,6,3,3,5,0,7,2,0
351,651.0,32,48,0,6,1,7,2,8,6,6,5,0,3,2,0
352,8.0,19,114,0,17,2,0,2,11,8,6,5,0,3,3,25
353,23.0,45,114,0,6,1,7,7,8,6,0,5,1,5,2,0
354,728.0,32,67,0,17,2,0,2,11,8,6,5,0,3,3,25
355,341.0,45,110,73,23,0,2,2,6,3,6,5,0,3,2,0
356,0.0,30,1,0,11,1,0,2,8,6,6,5,0,3,2,0
357,11.0,26,114,75,6,1,3,6,8,6,3,5,0,7,2,0
358,0.0,35,114,73,6,1,2,5,8,6,3,5,0,7,2,0
359,1097.0,36,114,73,6,1,3,6,8,6,3,6,1,7,2,0
360,0.0,31,114,0,23,0,7,2,6,3,0,5,0,3,2,0
361,37.0,37,70,0,10,2,0,5,6,3,3,5,0,7,2,0
362,439.0,30,56,0,17,2,0,2,11,8,6,5,1,3,2,0
363,0.0,42,48,0,23,2,7,2,6,3,0,5,1,3,2,0
364,14.0,23,114,43,23,2,7,2,6,3,0,5,1,3,2,0
365,12.0,26,24,0,23,2,0,2,6,3,5,5,1,3,2,0
366,165000.0,37,0,36,23,0,4,2,11,3,6,5,0,3,3,25
367,188.0,30,114,0,23,1,7,2,6,3,0,5,0,3,2,0
368,462.0,45,4,0,10,2,0,0,0,6,3,5,1,11,3,12
369,85.0,23,4,0,17,1,0,0,0,8,6,8,1,11,3,12
370,20.0,31,127,0,6,2,3,2,6,3,6,5,1,3,2,0
371,8.0,35,97,37,10,2,7,2,6,3,6,5,0,3,2,0
372,49.0,25,127,0,10,1,0,7,8,6,0,5,0,5,2,0
373,0.0,62,131,0,6,2,0,5,8,6,6,5,0,7,2,0
374,550.0,28,45,0,23,2,7,2,6,3,5,5,0,3,2,0
375,24.0,27,109,0,0,1,0,2,1,4,6,5,0,3,1,24
376,12.0,37,15,11,6,0,2,2,6,3,6,5,0,3,2,0
377,15.0,32,114,11,17,1,3,7,10,7,0,23,1,5,2,0
378,0.0,32,106,45,23,2,7,2,6,3,6,5,0,3,2,0
379,930.0,43,114,43,11,1,7,7,8,6,0,5,0,1,2,0
380,710.0,36,110,73,11,1,2,5,8,6,3,5,0,7,2,0
381,4.0,38,15,11,10,0,2,2,6,3,6,5,0,3,2,0
